Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
The Great Indian Kapil Show,30/03/2024,TV-14,6.4,35528,"Comedy, Talk-Show",2024,series,n,,
Everybody's Live with John Mulaney,12/03/2025,TV-MA,6.2,172,"Comedy, Talk-Show",2025,series,n,,
The Rest Is Football,10/06/2026,N/A,6.4,21,Sport,2023,movie,n,,
Is It Cake? Holiday,28/11/2024,N/A,6.9,284,Reality-TV,2024,series,n,,
Famous Last Words,03/10/2025,N/A,8.8,677,"Documentary, Talk-Show",2025,series,n,,
One Piece Bonus Content,17/03/2026,N/A,7.2,6,Documentary,2026,series,n,,
The Hunting Wives,21/07/2025,TV-MA,6.8,17521,"Drama, Mystery, Thriller",2025,series,y,The Hunting Wives,May Cobb
Doc,04/03/2026,TV-14,7.3,4490,Drama,2025,series,n,,
Single's Inferno,18/12/2021,TV-PG,7.3,4412,Reality-TV,2021,series,n,,
A Good Girl's Guide to Murder,01/08/2024,TV-MA,6.8,20870,"Crime, Drama, Mystery",2024,series,y,A Good Girl's Guide to Murder,Holly Jackson
North of North,10/04/2025,TV-14,7.5,7302,Comedy,2025,series,n,,
