Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Bloodhounds,2023-06-09,TV-MA,8.1,26563.0,"Action, Crime, Drama",2023,series
The Price of Confession,2025-12-05,TV-MA,7.6,3034.0,"Crime, Drama, Mystery",2025,series
The Resurrected,2025-10-09,R,6.2,5099.0,Horror,1991,movie
Million-Follower Detective,2026-02-12,TV-MA,5.9,206.0,"Crime, Drama, Thriller",2026,series
Agent from Above,2026-04-02,TV-MA,6.3,604.0,"Action, Adventure, Crime",2026,series
1670,2023-12-13,TV-MA,7.9,9359.0,"Comedy, History",2023,series
"Go Ahead, Brother",2024-10-30,TV-MA,7.1,1358.0,"Crime, Drama, Thriller",2024,series
The Mothers of Penguins,2024-11-13,TV-MA,7.4,810.0,"Drama, Sport",2024,series
Criminal Code,2023-11-14,TV-MA,7.2,2354.0,"Action, Crime, Drama",2023,series
Rulers of Fortune,2025-10-29,TV-MA,7.4,1725.0,"Crime, Drama",2025,series
Alpha Males,2022-12-30,N/A,7.6,10987.0,Comedy,2022,series
Community Squad,2023-02-17,TV-MA,7.6,3601.0,"Comedy, Crime",2023,series
The Manny,2023-12-24,N/A,5.6,2317.0,"Comedy, Drama, Family",2015,movie
Gangs of Galicia,2024-06-21,TV-MA,6.4,2132.0,"Crime, Drama, Thriller",2024,series
The Accident,2024-08-21,TV-MA,5.7,3171.0,"Drama, Thriller",2024,series
Breathless,2024-08-30,Not Rated,7.6,95230.0,"Crime, Drama",1961,movie
One Hundred Years of Solitude,2024-12-11,TV-MA,8.3,18967.0,"Drama, Fantasy, History",2024,series
Medusa,2025-03-05,N/A,5.2,1296.0,"Drama, Thriller",2025,series
The Eternaut,2025-04-30,TV-MA,7.3,35583.0,"Action, Adventure, Drama",2025,series
The Gringo Hunters,2025-07-09,TV-MA,6.4,1214.0,"Action, Crime, Drama",2025,series
Unspeakable Sins,2025-07-30,TV-MA,5.3,1225.0,"Drama, Thriller",2025,series
In the Mud,2025-08-14,TV-MA,6.3,1709.0,"Crime, Drama",2025,series
The Guest,2025-09-24,R,6.7,113257.0,"Action, Mystery, Thriller",2014,movie
"Old Dog, New Tricks",2025-10-03,TV-MA,7.0,3350.0,Comedy,2025,series
No One Saw Us Leave,2025-10-15,TV-MA,6.3,379.0,Drama,2025,series
City of Shadows,2025-12-12,R,5.0,159.0,"Action, Sci-Fi, Thriller",1987,movie
Time Flies,2026-01-01,TV-MA,5.4,261.0,"Comedy, Crime, Drama",2026,series
Salvador,2026-02-06,R,7.3,24936.0,"Drama, History, Thriller",1986,movie
Between Father and Son,2026-05-13,N/A,4.2,265.0,"Drama, Thriller",2026,series
The Åre Murders,2025-02-06,TV-MA,6.7,13016.0,"Crime, Drama, Mystery",2025,series
Ethos,2020-11-12,TV-MA,8.4,31210.0,Drama,2020,series
Graveyard,2022-06-17,N/A,7.7,4888.0,"Crime, Drama, Mystery",2022,series
Another Self,2022-07-28,TV-MA,7.2,22165.0,"Drama, Romance",2022,series
"Thank You, Next",2024-05-09,TV-MA,6.0,21909.0,"Comedy, Drama, Romance",2024,series
Platonic,2025-09-18,TV-MA,7.2,24960.0,"Comedy, Romance",2023,series
Old Money,2025-10-10,TV-MA,5.1,3634.0,Drama,2025,series
Home for Christmas,2019-12-05,TV-MA,7.7,17670.0,"Comedy, Drama, Romance",2019,series
The Chestnut Man,2021-09-29,TV-MA,7.6,66008.0,"Crime, Drama, Mystery",2021,series
Kohrra,2023-07-15,TV-MA,7.5,9974.0,"Crime, Drama, Thriller",2023,series
Catalog,2025-07-17,TV-14,7.6,1097.0,"Comedy, Drama",2025,series
Marked,2025-07-31,Not Rated,3.3,138.0,Thriller,2007,movie
The Game: You Never Play Alone,2025-10-02,N/A,4.6,551.0,"Crime, Mystery, Thriller",2025,series
The Asset,2025-10-27,TV-MA,7.2,1037.0,"Crime, Drama, Thriller",2025,series
Alkhallat+: The Series,2026-04-02,TV-14,6.6,504.0,Comedy,2026,series
The Polygamist,2026-06-12,N/A,7.6,5.0,"Short, Comedy",2014,movie
Formula 1: Drive to Survive,2019-03-08,TV-MA,8.5,59202.0,"Documentary, Sport",2019,series
Full Swing,2023-02-15,TV-MA,8.0,4785.0,"Documentary, Sport",2023,series
Missing: Dead or Alive?,2023-05-10,TV-MA,5.8,1951.0,"Documentary, Crime",2023,series
Quarterback,2023-07-12,TV-MA,8.0,5693.0,"Documentary, Sport",2023,series
Homicide,2024-03-20,R,6.9,8648.0,"Crime, Mystery, Thriller",1991,movie
America's Sweethearts: Dallas Cowboys Cheerleaders,2024-06-20,TV-14,7.0,2510.0,Documentary,2024,series
Kaulitz & Kaulitz,2024-06-25,TV-MA,7.1,1306.0,"Documentary, Biography, Music",2024,series
Worst Ex Ever,2024-08-28,TV-MA,7.2,3594.0,"Documentary, Crime",2024,series
Starting 5,2024-10-09,TV-MA,7.2,1266.0,"Documentary, Sport",2024,series
Off Road,2025-07-10,N/A,6.6,72.0,"Documentary, Biography, Family",2013,movie
Amy Bradley Is Missing,2025-07-16,TV-14,6.7,7100.0,"Documentary, Crime, Mystery",2025,series
Critical: Between Life and Death,2025-07-23,TV-MA,8.2,391.0,Documentary,2025,series
WWE Unreal,2025-07-29,TV-MA,8.0,2318.0,"Documentary, Reality-TV, Sport",2025,series
Conversations with a Killer: The Son of Sam Tapes,2025-07-30,TV-MA,6.7,1200.0,"Documentary, Biography, Crime",2025,series
SEC Football: Any Given Saturday,2025-08-05,TV-MA,7.1,575.0,"Documentary, Sport",2025,series
Katrina: Come Hell and High Water,2025-08-27,TV-MA,7.4,114.0,Documentary,2025,series
True Haunting,2025-10-07,TV-MA,6.0,2257.0,"Documentary, Horror",2025,series
Mob War: Philadelphia vs. The Mafia,2025-10-22,TV-MA,6.6,1248.0,"Documentary, Crime",2025,series
Marines,2025-11-10,N/A,6.3,729.0,Documentary,2025,series
Sean Combs: The Reckoning,2025-12-02,TV-MA,7.5,9978.0,"Documentary, Crime",2025,series
