Title,Premiere
Project Power,2020-08-14
Fearless,2020-08-14
Crazy Awesome Teachers,2020-08-17
The Crimes That Bind,2020-08-20
The Sleepover,2020-08-21
Class of '83,2020-08-21
Dark Forces,2020-08-21
All Together Now,2020-08-28
Unknown Origins,2020-08-28
Freaks – You're One of Us,2020-09-02
"Love, Guaranteed",2020-09-03
I'm Thinking of Ending Things,2020-09-04
The Babysitter: Killer Queen,2020-09-10
Dad Wanted,2020-09-11
The Devil All the Time,2020-09-16
The Paramedic,2020-09-16
Dolly Kitty Aur Woh Chamakte Sitare,2020-09-18
Whipped,2020-09-18
The Boys in the Band,2020-09-30
All Because of You,2020-10-01
Òlòtūré,2020-10-02
Serious Men,2020-10-02
The Binding,2020-10-02
Vampires vs. the Bronx,2020-10-02
You've Got This,2020-10-02
Hubie Halloween,2020-10-07
Ginny Weds Sunny,2020-10-09
The Forty-Year-Old Version,2020-10-09
A Babysitter's Guide to Monster Hunting,2020-10-15
Love Like the Falling Rain,2020-10-15
The Trial of the Chicago 7,2020-10-16
Rebecca,2020-10-21
Cadaver,2020-10-22
Over the Moon,2020-10-23
Holidate,2020-10-28
Nobody Sleeps in the Woods Tonight,2020-10-28
His House,2020-10-30
Kaali Khuhi,2020-10-30
Rogue City,2020-10-30
The Day of the Lord,2020-10-30
Operation Christmas Drop,2020-11-05
Citation,2020-11-06
What We Wanted,2020-11-11
Ludo,2020-11-12
Jingle Jangle: A Christmas Journey,2020-11-13
The Life Ahead,2020-11-13
The Princess Switch: Switched Again,2020-11-19
Christmas on the Square,2020-11-22
Hillbilly Elegy,2020-11-24
Notes for My Son,2020-11-24
The Christmas Chronicles: Part Two,2020-11-25
The Beast,2020-11-27
The Call,2020-11-27
Finding Agnes,2020-11-30
Just Another Christmas,2020-12-03
Christmas Crossfire,2020-12-04
Leyla Everlasting,2020-12-04
Mank,2020-12-04
The Claus Family,2020-12-07
Rose Island,2020-12-09
The Prom,2020-12-11
A California Christmas,2020-12-14
Ma Rainey's Black Bottom,2020-12-18
The Midnight Sky,2020-12-23
AK vs AK,2020-12-24
We Can Be Heroes,2020-12-25
Miss Americana,2020-01-31
A Life of Speed: The Juan Manuel Fangio Story,2020-03-20
Crip Camp: A Disability Revolution,2020-03-25
LA Originals,2020-04-10
Circus of Books,2020-04-22
A Secret Love,2020-04-29
Murder to Mercy: The Cyntoia Brown Story,2020-04-29
Becoming,2020-05-06
Have a Good Trip: Adventures in Psychedelics,2020-05-11
Spelling the Dream,2020-06-03
One Take,2020-06-18
Disclosure: Trans Lives on Screen,2020-06-19
Athlete A,2020-06-24
