Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
Mike E. Winfield: StepMan,23/08/2019,N/A,6.5,75,Comedy,2019,movie,n,,
Biswa Kalyan Rath: Sushi,25/10/2019,TV-MA,7.4,1005,Comedy,2019,movie,n,,
Ilana Glazer: The Planet Is Burning,03/01/2020,TV-MA,4,695,Comedy,2020,movie,n,,
Jayde Adams: Serious Black Jumper,03/01/2020,N/A,7.3,254,Comedy,2020,movie,n,,
Rob Delaney: Jackie,17/01/2020,N/A,6.6,363,Comedy,2020,movie,n,,
Russell Peters: Deported,17/01/2020,N/A,6.3,1016,Comedy,2020,movie,n,,
Celia Pacquola: All Talk,10/04/2020,N/A,7,102,Comedy,2020,movie,n,,
ZoÃ« Coombs Marr: Bossy Bottom,10/04/2020,N/A,6.6,73,Comedy,2020,movie,n,,
Alice Fraser: Savage,17/04/2020,N/A,7.2,134,Comedy,2020,movie,n,,
Tommy Little: Self-Diagnosed Genius,17/04/2020,N/A,7,59,Comedy,2020,movie,n,,
Tom Walker: Very Very,01/05/2020,N/A,4,18,Comedy,2020,movie,n,,
Tom Gleeson: Joy,08/05/2020,N/A,6.5,47,Comedy,2020,movie,n,,
Anne Edmonds: What's Wrong with You?,08/05/2020,N/A,6,125,Comedy,2020,movie,n,,
Jimmy O. Yang: Good Deal,08/05/2020,TV-MA,7.1,2186,Comedy,2020,movie,n,,
Gina Brillon: The Floor Is Lava,05/06/2020,TV-MA,6.5,187,Comedy,2020,movie,n,,
Jim Gaffigan: The Pale Tourist,24/07/2020,TV-14,6.8,882,Comedy,2020,series,n,,
Iain Stirling: Failing Upwards,27/05/2022,N/A,5.4,117,Comedy,2022,movie,n,,
Nate Bargatze: Hello World,31/01/2023,G,8,2281,"Documentary, Comedy",2023,movie,n,,
Kathleen Madigan: Hunting Bigfoot,21/02/2023,N/A,7.8,506,"Documentary, Comedy",2023,movie,n,,
Lizzy Hoo: Hoo Cares!?,06/04/2023,N/A,6,73,"Documentary, Comedy",2023,movie,n,,
Alex Borstein: Corsets & Clown Suits,18/04/2023,TV-MA,6.8,765,"Documentary, Comedy",2023,movie,n,,
Jimmy O. Yang: Guess How Much?,02/05/2023,N/A,6.9,1002,Comedy,2023,movie,n,,
Zarna Garg: One in a Billion,16/05/2023,N/A,6.3,666,"Documentary, Comedy",2023,movie,n,,
Jim Gaffigan: Dark Pale,25/07/2023,N/A,6.4,1291,Comedy,2023,movie,n,,
Zainab Johnson: Hijabs Off,24/10/2023,N/A,6.2,266,Comedy,2023,movie,n,,
Dina Hashem: Dark Little Whispers,10/11/2023,N/A,6.9,111,Comedy,2023,movie,n,,
Trevor Wallace: Pterodactyl,14/11/2023,N/A,5.8,264,"Documentary, Comedy",2023,movie,n,,
Jenny Slate: Seasoned Professional,23/02/2024,N/A,5.7,447,"Documentary, Comedy",2024,movie,n,,
Tig Notaro: Hello Again,26/03/2024,N/A,7.1,637,"Documentary, Comedy",2024,movie,n,,
Marlon Wayans: Good Grief,04/06/2024,N/A,6,326,"Documentary, Comedy",2024,movie,n,,
Sam Morril: You've Changed,09/07/2024,N/A,7.2,473,"Documentary, Comedy",2024,movie,n,,
The World According To Kaleb On Tour,29/11/2024,N/A,5.8,56,Comedy,2024,movie,n,,
Kathleen Madigan: The Family Thread,21/11/2025,N/A,7.7,167,"Documentary, Comedy",2025,movie,n,,
