Title,Premiere,is_book_adaptation,book_title,book_author
Ma Rainey's Black Bottom,18/12/2020,y,Ma Rainey’s Black Bottom,August Wilson
The Midnight Sky,23/12/2020,n,,
AK vs AK,24/12/2020,n,,
We Can Be Heroes,25/12/2020,n,,
Miss Americana,31/01/2020,n,,
A Life of Speed: The Juan Manuel Fangio Story,20/03/2020,n,,
Crip Camp: A Disability Revolution,25/03/2020,n,,
LA Originals,10/04/2020,n,,
Circus of Books,22/04/2020,n,,
A Secret Love,29/04/2020,n,,
Murder to Mercy: The Cyntoia Brown Story,29/04/2020,n,,
Becoming,06/05/2020,n,,
Have a Good Trip: Adventures in Psychedelics,11/05/2020,n,,
Spelling the Dream,03/06/2020,n,,
One Take,18/06/2020,n,,
Disclosure: Trans Lives on Screen,19/06/2020,n,,
Athlete A,24/06/2020,n,,
Mucho Mucho Amor: The Legend of Walter Mercado,08/07/2020,n,,
We Are One,14/07/2020,n,,
Father Soldier Son,17/07/2020,n,,
The Speed Cubers,29/07/2020,n,,
Anelka: Misunderstood,05/08/2020,n,,
Rising Phoenix,26/08/2020,n,,
My Octopus Teacher,07/09/2020,n,,
The Social Dilemma,09/09/2020,n,,
Hope Frozen: A Quest to Live Twice,15/09/2020,n,,
GIMS: On the Record,17/09/2020,n,,
American Murder: The Family Next Door,30/09/2020,n,,
Dick Johnson Is Dead,02/10/2020,n,,
David Attenborough: A Life on Our Planet,04/10/2020,n,,
Bigflo & Oli: Hip Hop Frenzy,08/10/2020,n,,
Blackpink: Light Up the Sky,14/10/2020,n,,
The Three Deaths of Marisela Escobedo,14/10/2020,n,,
Rooting for Roona,15/10/2020,n,,
Guillermo Vilas: Settling the Score,27/10/2020,n,,
Secrets of the Saqqara Tomb,28/10/2020,n,,
Shawn Mendes: In Wonder,23/11/2020,n,,
Dance Dreams: Hot Chocolate Nutcracker,27/11/2020,n,,
Emicida: AmarElo â€“ It's All for Yesterday,08/12/2020,n,,
Giving Voice,11/12/2020,n,,
Road to Roma,11/02/2020,n,,
Ben Platt: Live from Radio City Music Hall,20/05/2020,n,,
The Boys in the Band: Something Personal,30/09/2020,n,,
Sarah Cooper: Everything's Fine,27/10/2020,n,,
Alien Xmas,20/11/2020,n,,
Shawn Mendes: Live in Concert,25/11/2020,n,,
Angela's Christmas Wish,01/12/2020,n,,
Ma Rainey's Black Bottom: A Legacy Brought to Screen,18/12/2020,n,,
"Ariana Grande: Excuse Me, I Love You",21/12/2020,n,,
Death to 2020,27/12/2020,n,,
What Did Jack Do?,20/01/2020,n,,
Sitara: Let Girls Dream,08/03/2020,n,,
Sol Levante,02/04/2020,n,,
The Claudia Kishi Club,10/07/2020,n,,
John Was Trying to Contact Aliens,20/08/2020,n,,
A Love Song for Latasha,21/09/2020,n,,
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso CuarÃ³n,03/11/2020,n,,
If Anything Happens I Love You,20/11/2020,n,,
Canvas,11/12/2020,n,,
Cops and Robbers,28/12/2020,n,,
What Happened to Mr. Cha?,01/01/2021,n,,
Pieces of a Woman,07/01/2021,n,,
Stuck Apart,08/01/2021,n,,
The Heartbreak Club,14/01/2021,n,,
Double Dad,15/01/2021,n,,
Outside the Wire,15/01/2021,n,,
Tribhanga â€“ Tedhi Medhi Crazy,15/01/2021,n,,
The White Tiger,22/01/2021,y,The White Tiger,Aravind Adiga
June & Kopi,28/01/2021,n,,
Finding Ê»Ohana,29/01/2021,n,,
The Dig,29/01/2021,y,The Dig,John Preston
Below Zero,29/01/2021,n,,
The Last Paradiso,05/02/2021,n,,
Malcolm & Marie,05/02/2021,n,,
Space Sweepers,05/02/2021,n,,
The Misadventures of Hedi and Cokeman,10/02/2021,n,,
Red Dot,11/02/2021,n,,
Squared Love,11/02/2021,n,,
To All the Boys: Always and Forever,12/02/2021,y,"Always and Forever, Lara Jean",Jenny Han
Geez & Ann,25/02/2021,n,,
Crazy About Her,26/02/2021,n,,
The Girl on the Train,26/02/2021,y,The Girl on the Train,Paula Hawkins
Moxie,03/03/2021,y,Moxie,Jennifer Mathieu
Sentinelle,05/03/2021,n,,
Yes Day,12/03/2021,n,,
Paper Lives,12/03/2021,n,,
Get the Goat,18/03/2021,n,,
Caught by a Wave,25/03/2021,n,,
A Week Away,26/03/2021,y,A Week Away,Kali Bailey
Bad Trip,26/03/2021,n,,
Pagglait,26/03/2021,n,,
Tersanjung the Movie,01/04/2021,n,,
Concrete Cowboy,02/04/2021,n,,
Just Say Yes,02/04/2021,n,,
Madame Claude,02/04/2021,n,,
Have You Ever Seen Fireflies?,09/04/2021,n,,
Night in Paradise,09/04/2021,n,,
Thunder Force,09/04/2021,n,,
Prime Time,14/04/2021,n,,
Ride or Die,15/04/2021,n,,
Ajeeb Daastaans,16/04/2021,n,,
Get the Grift,28/04/2021,n,,
